INDEX,TEXT ,STYLE TEXT
11,"Водители будут заключать трудовой договор с перевозчиком или регистрироваться в качестве самозанятых. Петербург, Москва, Севастополь и соседние с ними регионы будут сами устанавливать минимальный размер тарифа на перевозку. А порядок расчета определит уполномоченный орган власти. А еще автомобилистам с непогашенной судимостью и с большим количеством штрафов запретят работать в такси и вообще перевозить пассажиров. «Агрегаторы станут также делить ответственность с самозанятыми водителями: в случае ДТП с самозанятым агрегатор возьмет на себя компенсацию пострадавшему пассажиру. А если сервис будет массово отдавать заказы водителям-нелегалам, его могут лишить разрешения на работу в регионе», — сообщили в пресс-службе нижней палаты парламента. Службы заказа обязуют открыть местные представительства в тех регионах, в которых машины за сутки выполняют более 4 тысяч машин. Данные о перевозках разрешат хранить только на российских серверах. Также в документе прописан внешний и внутренний вид автомобиля. На кузове должны быть контрастная схема с квадратами, расположенными в шахматном порядке, а на крыше — фонарь оранжевого цвета. В салоне нужно будет разместить карточку с информацией о перевозчике и водителе.",публицистический стиль
12,"Она вдохновила Сергея Рахманинова на написание одноименной симфонической поэмы, а Макса Регера — на создание цикла для оркестра.Как следует из графы «наименование товара» закупочной документации, картина «Остров мертвых» была написана в 1901 году швейцарским художником-символистом Арнольдом Беклиным. Произведение выполнено маслом на холсте, его размеры составляют 101 на 152 сантиметра. Информация о договоре размещена 7 декабря. Цена договора — 39 миллионов 650 тысяч рублей, Эрмитаж покупает картину в рублях. Дата окончания исполнения договора истекает сегодня, 22 декабря. К исполнению должны быть привлечены субподрядчики из числа субъектов малого и среднего предпринимательства, следует из данных госзакупок. Арнольд Беклин родился в 1827 году в Швейцарии. Живописец, график и скульптор, он считается одним из выдающихся представителей символизма в европейском изобразительном искусстве XIX века. Репродукции картин Беклина, главным образом«Острова мертвых», были популярны в Европе в начале XX века. Владимир Набоков в романе «Отчаяние» отмечал, что их можно «найти в каждом берлинском доме». Под впечатлением от картины композитор Сергей Рахманинов написал симфоническую поэму «Остров мертвых», а Макс Регер создал цикл композиций для симфонического оркестра.",публицистический стиль
13,"Мир, каким мы его знаем, сформирован многовековой борьбой за ресурсы, а концепция политического неразрывно связана с концепцией природы. В этом контексте под природой, окружающей средой и ресурсами мы понимаем различное сырье, получаемое для любых форм производственной деятельности. Политики без природных ресурсов не существует, как и ресурсов без должного политического осмысления; такое понимание возникло из акторно-сетевой теории Бруно Латура, которая сводится к следующей мысли: невозможно выделить четкие границы между природой, наукой и политикой, поскольку мы имеем дело со всепроникающей социальностью любого из этих явлений. Политика же, в свою очередь, определяется непосредственно через ее отношение к природе, а цивилизованная жизнь — это синтез различных видов сырья. Любой товар, который мы держим в руках, например смартфон, состоит из природных ресурсов. В этом смысле природные блага становятся не просто целью, но актором исторических процессов. При этом любопытно, что ресурсы никогда не существуют без человеческого осмысления: к примеру, потенциал урана не был бы раскрыт без умения людей обогащать его. Это означает, что природные ресурсы начинают существовать, когда человек прикладывает к ним социовоображение. Уран, сахар, железо, торф — это материальные объекты, и их превращение в ресурсы — процесс исключительно социальный. В связи с этим стоит обратиться к антропологу Лесли Уайту, который сформулировал задачу культуры как освоение энергии с помощью технологий. В свою очередь, природа превращается в окружающую среду, когда происходит окультуривание пространства. Идентичность начинает постепенно формироваться, когда человек основывает города, чертит карты, прокладывает дороги. Именно на этом этапе Волга в сознании русского человека перестает быть природным объектом, приобретает символический статус и становится важной частью самосознания. Можно сделать вывод, что при анализе связи ресурсов и государственных образований мы имеем дело с трехчастной моделью, состоящей из природы, окружающей среды и человеческого (а позже — гражданского) самосознания. Попадая в поле политического осмысления, природа приобретает значение множества сложноорганизованных ассоциаций: природа — это потребление, институты, сельское хозяйство, технологии и многие другие образования, существование которых в принципе невозможно без ресурсов окружающей среды.",публицистический стиль
14,"К концу XIX века эти представления начали медленно меняться. Первым шагом к переменам можно назвать консервативную критику капиталистического общества и науки как явлений, разрушающих традиционные устои. Первые природоохранные движения — в их числе принято особо выделять движение за создание заповедников в Германии — имели ярко выраженный консервативный или национально-романтический характер. Так, Гуго Конвенц, пионер природоохраны в Германии конца XIX века, соотносил создание памятников природы, защиту окружающей среды с патриотическим долгом гражданина, защитой Родины. Зачастую первыми природоохранными организациями в Европе становились охотничьи союзы, которым было важно сохранить те же немецкие леса от промышленной вырубки. Эти союзы в значительной степени состояли из находящегося в кризисе дворянства. Это были люди, привыкшие воспринимать охоту как часть своего традиционного привилегированного образа жизни, но вырубка лесов для нужд развивающейся промышленности поставила этот образ жизни под угрозу. Пытаясь защитить леса, старая европейская аристократия, конечно, мыслила природу не как биосистему, но как нечто, в чем заключен дух старины и традиционные ценности. В Германии идея защиты природы тесно смыкается с немецким национализмом. Защита окружающей среды оставалась занятием консерваторов приблизительно до 1930–1940-х годов. Для их политических оппонентов — социалистов и либералов — природа не обладала самостоятельной ценностью. Но в конце 1950-х, во время послевоенного «великого ускорения», возникли условия, которые подтолкнули социалистов и либералов к пересмотру своего отношения к окружающей среде.",публицистический стиль
15,"Во-первых, во всем мире резко вырос экономический спрос. Люди откладывали удовлетворение своих потребностей и в кризисное довоенное десятилетие, и во время войны, но теперь спешили эти потребности удовлетворить. Одновременно восстанавливалась промышленность: мир оказался завален товарами. Во-вторых, шли процессы деколонизации: появлялись новые государства, а в них возникал запрос на строительство собственной промышленности, которая должна была обеспечить экономический суверенитет. Быстрый экономический рост 1950–1960-х годов вызвал у специалистов тревогу о том, как долго этот рост можно будет поддерживать. Эта тревога выразилась в нескольких программных заявлениях, среди которых можно выделить знаменитый доклад Римского клуба «Пределы роста» 1972 года. В нем были сформулированы опасения о том, что человечество потребляет больше ресурсов, чем планета в состоянии ему поставлять. Авторы доклада — представители мировой политической, финансовой, культурной и научной элиты — пришли к выводу о том, что приблизительно к 2000 году человечество подойдет к пределу роста, за которым должен последовать коллапс. Идея не была большим новшеством: одним из первых ее развил в начале XIX века английский политэконом Томас Мальтус. Неизбежность краха после периода быстрого роста называется по его имени мальтузианской ловушкой. Однако только к 1970-м годам мальтузианская ловушка стала для многих не просто нюансом экономической теории, а вполне вероятным сценарием недалекого будущего.",публицистический стиль
16,"Одновременно с формированием представления о конечности ресурсов к началу 1960-х начала возникать идея об ответственности человечества перед планетой. В истории этой идеи важную роль сыграла вышедшая в 1962 году книга американского биолога Рэйчел Карсон «Безмолвная весна» о губительном влиянии инсектицидов на насекомых и птиц. Карсон выявила конфликт между уважаемой, общественно полезной деятельностью промышленников — производителей полезных инсектицидов — и природой. Главной и новой для общественной мысли того времени стала идея Карсон о том, что полезная человеку деятельность может быть в долгосрочной перспективе для человека же вредной: инсектициды, сокращая популяцию птиц и насекомых, снижают эффективность сельского хозяйства, а также приводят к заболеваниям у людей. Книга вызвала огромную общественную дискуссию. Она широко обсуждалась в американской прессе и на телевидении; компании-производители инсектицидов начали масштабную, но провальную юридическую кампанию против Карсон и ее издателей. «Безмолвная весна» создала прецедент и изменила лицо экологического активизма в США и во всем мире: он стал и до сих пор остается вовсе не эгоистичной заботой человека о собственном процветании — теперь это борьба за природу и ради нее.",публицистический стиль
17,"Идеи о том, что в природе все взаимосвязано, ресурсы конечны, а вмешательство должно быть осторожным, в научном сообществе сформировались гораздо раньше, чем в обществе в целом. Интересно, что корни этого представления лежат скорее в экономической реальности, чем в экологии как науке. До конца XIX — начала XX века наука развивалась, постоянно уменьшая, дробя объект исследования на части. Каждая дисциплина выделяла свое поле интересов, а в нем — свои ключевые темы. Для того чтобы заниматься наукой, ученому нужно было все время сужать область своего исследования. Эта тенденция в некотором смысле противоречила экологическому подходу, который, напротив, стремится объединить множество объектов и рассматривать их как систему. Первоначальное объединение разрозненных объектов исследования произошло на почве экономики, а не естественного развития науки. Именно экономические задачи потребовали, чтобы знания геологов, физиков, химиков были применены к единому объекту, например территории страны.",публицистический стиль
18,"Дискуссии о том, как использовать природные ресурсы так, чтобы их хватило надолго, велись в российских университетах еще до Октябрьской революции. В 1916 году при Императорской Академии наук была создана Комиссия по изучению естественных производительных сил России. Она решала актуальные для того времени задачи: замещение импорта, промышленный суверенитет, безопасность. Но в отчетах этой комиссии прослеживается и желание сохранить по крайней мере часть ресурсов для будущих поколений. В годы Гражданской войны в Сибири работал Институт исследования Сибири, также ставивший перед собой задачи освоения и разработки новых подходов научного изучения и такого развития промышленности, которое сейчас можно было бы назвать «устойчивым». Даже в дискуссиях о традиционных отраслях промышленности, таких как металлургическая и угольная, актуализировались вопросы конечности ресурсов и частично последствиях, которые будет иметь природа после освоения этих ресурсов. Другой причиной, по которой формирование экологического подхода стимулировали не ученые, а государство и экономические задачи, ставившиеся перед научным сообществом, стала традиционная траектория развития научных исследований и самих ученых. В процессе постоянного сужения области своей специализации ученые крайне редко могли позволить себе выход за пределы своей темы и тем более своей дисциплины, как этого требует экологический подход. Можно назвать отдельные имена ученых, совершивших такой выход: в Германии это сделал Карл Мебиус, в России — Владимир Вернадский, Василий Докучаев. Их объединяло признание и высокий, почти непоколебимый статус в академии — другими словами, у них была возможность выйти за рамки своей темы и взглянуть на вещи шире. Чтобы дискуссия о некотором «правильном», то есть по крайней мере экономном, освоении природных ресурсов перешагнула пороги ученых кабинетов, общество должно было сильно измениться.",публицистический стиль
19,"Внедрение экологического подхода редко происходило без конфликтов. Аналогом бури, которую вызвала в американских СМИ «Безмолвная весна» Рейчел Карсон, в СССР стали обсуждения проектов строительства целлюлозно-бумажного комбината на берегу озера Байкал и поворота сибирских рек. По сути они обе сводились к вопросу о том, можно ли человеку вмешиваться в природу, и о последствиях такого вмешательства. Проект строительства Байкальского ЦБК начали обсуждать в конце 1950-х годов. Он вполне укладывался в продуктивистскую логику эффективного освоения природных богатств. Стране нужна была целлюлоза, качество ее зависит от качества воды, а вода озера Байкал, как известно, очень чистая. Строить комбинат на Байкале было логично, эффективно, выгодно: на любом другом водоеме потребовалось бы затратить гораздо больше средств на строительство системы очистки воды. Против строительства комбината выступила коалиция ученых Сибирского отделения АН СССР, к которым позже присоединились биологи, ботаники, геологи, географы из центральных областей страны. Для многих эта критика стала большим сюрпризом. Она шла вразрез с представлением о том, что наука существует для помощи народному хозяйству — эту идею советское государство воспитывало в своих ученых, и сами они в основном разделяли это убеждение. Но проект ЦБК на Байкале критиковали в том числе те люди, которые до сих пор своей научной работой вносили огромный вклад в развитие экономики. Один из самых ярких примеров здесь — академик Трофимчук, герой социалистического труда, открывший множество нефтяных месторождений. Теперь же он и подобные ему выступали против министров советского правительства, утверждая, что бывают ситуации, в которых экономические задачи менее важны, чем сохранение природного достояния. Дискуссия о Байкальском ЦБК шла более 40 лет; в 1966 году комбинат заработал, в 2013 году — закрыт, на его территории начались работы по восстановлению среды и превращению территории в санаторно-курортную зону. Другой проект — поворот сибирских рек для снабжения водой засушливых регионов Средней Азии — встретил схожую оппозицию советской академии, но был заблокирован гораздо быстрее. Роль в этом сыграло полное отсутствие возможности просчитать последствия его реализации, в первую очередь возможные убытки. В самом деле, в дискуссии, где одна сторона оперирует эффективностью и выгодой, а другая — сохранением экосистем, важно правильно выставить обменный курс. Чаще всего это означает, что нужно подсчитать, во сколько обойдется возмещение ущерба природе. Эти подсчеты — всегда задача ученых.",публицистический стиль
20,"Споры о Байкальском ЦБК и проекте поворота сибирских рек сыграли важную роль в формировании советского экологического законодательства — норм о допустимых концентрациях разных веществ в воде, почве и воздухе, о состоянии сточных вод, охране лесов. Если первые подобные нормы права, принятые после революции, исходили из стремления сохранить ресурсы для потомков, то новые законы предназначены были для защиты человека и его здоровья. Третий поворот в области экологического законотворчества начался в СССР в 1980-е годы и продолжается до сих пор. Он стимулировал появление норм, которые защищают окружающую среду не ради человека, а ради нее самой. Особый вклад в этот поворот внесла чернобыльская авария, которая сильно подняла востребованность экологических вопросов в обществе. Помимо удара, нанесенного имиджу ядерной энергетики, Чернобыль сильно ударил по продуктивистскому представлению о науке, которое продвигалось в СССР. Согласно этому представлению, человеческому разуму подвластно все — разумеется, только при правильной социальной и политической организации. Не виделось никаких границ для познания и дальнейшего использования сил природы. Атомный проект был самым ярким подтверждением того, что ученые проникли в тайну природы и сумели поставить ее на службу народу. После Чернобыля говорить о науке в таком ключе было уже невозможно. Он был воспринят как напоминание о том, что у наших ошибок, в том числе научных, есть цена. После 1986 года популярность экологических обсуждений в СССР резко выросла, они превратились в канал выражения мнений ученых, журналистов, политиков и просто граждан. Сформировалось представление о том, что в экологическом взгляде заинтересованы все. Так СССР получил к 1991 году одно из самых прогрессивных в мире экологических законодательств, включающее понятие компенсации за нанесенный окружающей среде ущерб.",публицистический стиль
21,"История компьютерной обработки естественного языка (natural language processing) начиналась с очень простых алгоритмов: десяток правил плюс небольшой словарь. Затем появились более разветвленные системы из тысяч логических шаблонов со сложной иерархией приоритетов между ними. Дальше возникло машинное обучение: люди научили алгоритмы выводить правила самостоятельно — они существовали не в явном виде логических условий, а в виде абстрактных признаков внутри алгоритма. А сегодня используется специфический вид машинного обучения — глубокое обучение. Оно представляет собой метод на базе искусственного интеллекта, который использует многоуровневые алгоритмы машинного обучения для извлечения все более сложных характеристик из необработанных входных данных. Первый алгоритм, который мог поговорить с человеком, появился в 1966 году. Чат-бот «Элиза» был создан американским ученым Джозефом Вейценбаумом как эксперимент. Программа пародировала общение психоаналитика с клиентами: она задавала собеседнику вопросы и анализировала их ответы по ключевым словам, а дальше выдавала следующий встречный вопрос. Выбор роли психоаналитика был продиктован тем, что в таком диалоге можно вместо ответа задавать вопрос за вопросом и при этом не выглядеть странно. При этом чат-бот «Элиза» никак не мог быть по-настоящему похож на психоаналитика: реальный специалист не просто задает вопросы, а профессионально ведет клиента к нахождению ответов. К слову, этот пример отражает вообще всю историю работы над нейросетями. Даже самая продвинутая программа все-таки не может сравниться с разумным существом.",публицистический стиль
22,"Раньше языковые модели применялись для того, чтобы выполнять самые простые задачи, например генерировать перевод текста. Представим, что у нас есть исходный текст, мы хотели бы получить его на другом языке и нам необходимо создать максимально реалистичный перевод, похожий на настоящий. Или мы стремимся распознать голос, и языковая модель помогает нам правильно понять то, что говорится на записи с не очень высоким качеством. Но сегодня языковые модели тренируются решать более сложные задачи. Если все началось с того, что разработчики пытались прогнозировать с помощью языковых моделей следующее слово, то сегодня у нас есть система, которой можно давать любые задачи, сформулированные в текстовом виде. В лаборатории искусственного интеллекта такие модели используют для разных целей. Например, для того, чтобы по записям электронной медицинской карты предполагать наиболее вероятный диагноз. В коротком отрезке задача специалистов — упростить работу врачей в поликлиниках. Для этого используют языковую модель, которая обучена разбирать записи электронных медицинских карт и, анализируя данные посещений, предполагать три наиболее вероятных диагноза. Такая система поддержки принятия врачебных решений, разработанная Сбером и Правительством Москвы, была запущена во всех поликлиниках Москвы. Но на данном этапе языковая модель умеет правильно понимать только саму медицинскую карту: она анализирует анамнез, жалобы, результаты осмотра. При этом модель не умеет оценивать результаты осмотра и замечать необычные детали, обращаться к медицинской литературе и делать таким образом необычные логические выводы.",публицистический стиль
23,"Не так давно интернет облетело видео, как в Сан-Франциско полиция останавливает беспилотный автомобиль. Выглядит это очень комично: сотрудник заглядывает в машину и видит, что водителя в ней нет. Но за смешным видео стоит серьезная проблема, которую человечеству предстоит решить в будущем. Например, при анализе медицинских изображений машина только подсказывает специалисту, а конечное решение о постановке того или иного диагноза полностью лежит на плечах врача. Именно поэтому так важны корректная работа создателей подобных систем и правовое регулирование этого вопроса в будущем. Пока специалисты пытаются использовать более простые и понимаемые методы, чистить входную выборку, исключать из нее потенциально вредные данные. И во многом эту задачу удается решить.",публицистический стиль
24,"Второе направление работы лаборатории — это применение искусственного интеллекта в сфере образования. Цель разработчиков — сделать процесс обучения интереснее и эффективнее. Для того чтобы это направление запустить, лаборатория долгое время консультировалась с ведущими вузами и узнала, что многие преподаватели хотели бы иметь генератор заданий для студентов по программированию и математике. Как известно, любое задание не имеет известного решения только один поток, а дальше студенты начинают обмениваться правильными ответами. Над решением этой проблемы и работает лаборатория. Еще одна задача специалистов — создать способ проверки свободно сформулированных ответов на тестовые задания. Это поможет создавать не простые тестовые задачи, где есть понятные варианты, а более широкие и объективные системы проверки знаний. Есть и такие разработки, как, например, генерация трека обучения для конкретного человека, персональная модификация образовательных материалов.",публицистический стиль
25,"В некотором смысле современные методы искусственного интеллекта на основе нейросетей, глубокого обучения — это нечто магическое. Разработчики имеют в распоряжении лишь некие примитивы — строительные блоки, из которых можно собрать все что угодно. Хотите определять, что изображено на картинке, хотите переводить литературные произведения? Пожалуйста. Но при этом никто не знает, как такие модели работают внутри, что происходит под капотом современных языковых моделей.",публицистический стиль
26,"Вся история искусственного интеллекта заключается в том, что ученые и разработчики все время пытаются решить искусственный интеллект «в общем». Они стремятся создать такой искусственный интеллект, который сможет зайти на любую кухню и приготовить кофе. Для этого специалисты используют термин «точка технологической сингулярности» — так они обозначают момент, когда искусственный интеллект осознает себя и сможет быть по-настоящему самостоятельным. Однако идея про общий искусственный интеллект имеет вопросы, на которые нет понятных ответов. Самый простой: зачем такой искусственный интеллект нужен человечеству? Станет такой разум другом для людей? Возможно, текущий уровень развития технологий — это и есть то, с чем и стоит работать.",публицистический стиль
27,"Биоарт (bioart) — это широкое понятие, так называют искусство, взаимодействующее с науками о жизни. Некоторые обозначают этим термином искусство, которое имеет дело только с живыми организмами, но я не считаю, что стоит вводить такие ограничения. В своих работах я, наоборот, часто использую мертвое — например, ДНК и убитые бактерии. Триггером для творчества для меня является интерес к жизни, в частности к инфекционным заболеваниям, с которыми я работаю с 2010-х годов. Инфекционные заболевания — и речь не только о коронавирусе, но также о туберкулезе, малярии и так далее — одни из основных причин смертности, они оказывают огромное влияние на жизнь людей, которые их перенесли. Но о них очень неохотно говорят, и это меня и удивило. Так я начала изучать механизмы жизни: создание антибиотиков, распространение заболеваний, а также геномику и синтетическую биологию — направление, которое занимается редактированием ДНК организмов. Но в то же время в своих работах я обращаюсь и к истории искусства, в них есть и этическая, и эстетическая составляющая. Я говорю не только о такой эстетической категории, как прекрасное, но также об ужасном, отвратительном, пугающем и возвышенном.",публицистический стиль
28,"Промышленные революции и массовое производство сделали возможным появление экономики нового типа — линейной. Такая модель (ее иногда называют моделью «бери, используй, выбрасывай») предусматривает использование природных ресурсов, производство из них товаров, их утилизацию и бесконечное повторение этого цикла. Но уже в середине ХХ века стало понятно, что ресурсы планеты ограничены и с ростом населения опасность их истощения становится все более реальной. В качестве альтернативы линейной экономике экологи и экономисты предложили экономику замкнутого цикла. Она предусматривает использование возобновляемых ресурсов, продление срока жизни уже произведенных товаров и безотходное производство: продукты одного процесса становятся расходными материалами для другого. О том, возможен ли переход к циклической экономике и что нужно сделать для его осуществления, ПостНауке рассказали кандидат экономических наук, доцент Департамента мировой экономики ВШЭ Георгий Сафонов и независимый эксперт в области устойчивого развития Мария Жевлакова.",публицистический стиль
29,"Линейная модель экономики называется так потому, что видит экономику как линию с началом и концом: природные ресурсы (древесина, вода, полезные ископаемые) добывают, из них производят товары, товары используют и выбрасывают, затем все повторяют сначала. Линейная экономическая модель основана на том, чтобы как можно большее количество товаров как можно быстрее пропустить через этот процесс. Из-за этого ее иногда называют моделью «бери, используй, выбрасывай» — произведенные товары в итоге оказываются на свалке.До первой промышленной революции, которая началась в Европе в конце XVIII века, массового производства не существовало. Вместо него были ремесла и ручной труд: кузнец ковал, гончар делал горшки, портной шил и так далее. Все они старались производить товары как можно более высокого качества, которые могли использоваться долгие годы. С изобретением паровых машин ситуация изменилась: появилась возможность производить товары в больших количествах. Тогда и возникла линейная экономика. Сначала производители ориентировались на долгоживущие продукты, но со временем стратегия изменилась: они стали сокращать срок эксплуатации выпускаемой продукции. Например, автомобили первоначально делали из толстой стали, они были тяжелыми, надежными и оставались на ходу десятки лет. Позже на смену им пришли более легкие модели, быстрее приходящие в негодность. Чем дальше, тем больше этот процесс ускорялся. Запланированное устаревание — намеренное сокращение срока эксплуатации товаров. Когда компании разрабатывают товары (например, лампочку), они заранее проектируют их таким образом, чтобы они служили ограниченное количество времени, а затем ломались и потребители покупали им на смену новые. Правительства стремились к тому, чтобы производить как можно больше товаров, увеличивать ВВП и таким образом обеспечивать благосостояние населения. Это создавало стимулы использовать природные и трудовые ресурсы все в больших масштабах. В середине-конце ХХ века бурный рост потребления достиг своего апогея благодаря глобализации. Производства перенесли в страны с дешевой рабочей силой: Китай, Индию, в Юго-Восточную Азию и Латинскую Америку. Мир делился на регионы, превращавшиеся в цеха по производству товаров, которые затем отправляли на другой конец света",публицистический стиль
30,"Цифровым искусством» (англ. digital art) сегодня называют художественные практики с использованием цифровых технологий. Начиная с 1960-х годов, помимо аналоговых материалов — карандашей и красок, металла и глины, магнитной ленты для звуковой и видеозаписи, — в руках у художников оказались новые инструменты — устройства-посредники, чья работа связана с электронными вычислениями и представлением данных в виде кода. На протяжении полувека цифровое искусство называли по-разному: компьютерным, мультимедийным или киберискусством. Сейчас эти определения вытеснены широко распространенными терминами «медиаискусство» или «искусство новых медиа». Однако насколько нова сама идея оцифровки информации? Теоретик медиа Вилем Флюссер уверен: идеей повсеместного проникновения цифры в нашу жизнь мы обязаны Новому времени, когда естествоиспытатели заявили, что книга природы написана языком математики. С этого момента началось превращение природы в математическую модель, с которой можно производить научные и технические операции. Медиатеоретики видят в истории развития средств коммуникации отражение того, как менялись способы мышления: от чувственного познания четырехмерного мира к созданию цифровой модели реальности и самого человека, существующего в ней. Максим Мирошниченко, кандидат философских наук, сотрудник Центра истории знания ИГИТИ ВШЭ, преподаватель кафедры биоэтики ЮНЕСКО РНИМУ — Благодаря возникновению новых систем электротехнической коммуникации, в частности интернета, мы оказались в таком состоянии, что пространство и время обессмыслились. Мы все будто бы всегда находимся вместе. Маршалл Маклюэн ввел понятие имплозии, «сжатия», чтобы обозначить одновременность и находимость всего в одной непространственной точке. Флюссер тот же процесс называет абстрагированием: с одной стороны, мы отказались от тела, от субъективности и от материального мира, но в то же самое время вернулись к ним уже в новом качестве. Цифровизация приводит нас к пересмотру отношения к материальности и телесности и поиску новых способов описания и проживания опыта нахождения в мире.",публицистический стиль
